Atm name,Address,Latitude,Longitude,Zone,Easting,Northing,City,Type
ATM,"Infiniti Mall, New Link Rd",19.1412127,72.8309064,43,271853.3325,2117868.97,malad,Atm
Axis Bank ATM,"Timber Estate, Sonimur Apartments, Swami Vivekananda Rd",19.1904901,72.8470226,43,273616.4129,2123303.563,malad,Atm
The Malad Sahakari Bank Limited ATM-Malad East Branch,"Om Sai Darshan Co-Operative Housing Society, Pathanwadi Road",19.2025187,73.089054,43,299088.3202,2124338.218,malad,Atm
YES Bank ATM,"Shop No 5, Bhanushali Complex, Rani Sati Rd",19.1778783,72.869705,43,275985.2514,2121877.977,malad,Atm
Axis Bank ATM,"Casa Blanca Building, Ground Floor",19.1960065,72.8390278,43,272783.0293,2123924.708,malad,Atm
Sarswat Bank ATM - Malad West,Mamletdarwadi Main Rd,19.1877196,72.842875,43,273176.3366,2123002.232,malad,Atm
Axis Bank ATM,"Shop No 5 to 7, Ground Floor, Link House Goregaon Link Road, Malad West Near Inorbit Mall",19.1729281,72.8359056,43,272422.8919,2121373.722,malad,Atm
UCO Bank ATM,"Kashi Kunj, KV Road",19.185263,72.846912,43,273597.6283,2122725.006,malad,Atm
State Bank ATM,"Atlanta Building, Evershine Nagar, Malad West",19.1928547,72.8311,43,271944.7965,2123586.129,malad,Atm
Lakshmi Vilas Bank ATM,"Link Road, Mithchowki, Malad West, opp. Bank of Baroda",19.191844,72.8345949,43,272311.0251,2123469.658,malad,Atm
DCB Bank ATM,"Shop No.7, Safa Marwa Building, Pathan Wadi, Ranisati Marg, Malad East",19.1790943,72.8631721,43,275299.6723,2122021.012,malad,Atm
UCO Bank ATM,Trimurti Tower,19.1861261,72.8443013,43,273324.1867,2122823.956,malad,Atm
Apna Sahkari Bank ATM,"Link Road, Arshipada, Mariamman Nagar, Malad West",19.1819724,72.8362972,43,272476.5157,2122374.525,malad,Atm
United Bank Of India Atm,"Lilac Garden, CHS Near Ganesh Chowk, Charkop, Kandivali West",19.215051,72.832043,43,272074.5884,2126042.307,kandivali,Atm
ICICI BANK ATM,"Shop No-1/2, Abhilakh Nagar, Iraniwadi Road No. 4, Kandivali(W, 400067",19.2028608,72.8487575,43,273815.8202,2124670.89,kandivali,Atm
Bank Of India ATM,"Anita Accord, Akurli Rd",19.1954871,72.8727737,43,276331.8609,2123823.51,kandivali,Atm
Quick ATM,"National Avenue, Akurli Rd",19.2020152,72.8573173,43,274714.9874,2124566.171,kandivali,Atm
HDFC Bank ATM,"Shop No 2 & 3, Gr Flr, Symphony Building, New Link Rd",19.2053274,72.8337773,43,272243.5919,2124963.51,kandivali,Atm
Bharat Bank Atm,"Sunrays Shopping Center, Charkop Market , Kandivali West",19.216088,72.8283842,43,271691.2128,2126161.915,kandivali,Atm
Axis Bank ATM,"Shop No 812, Raj Arcade",19.213018,72.8414966,43,273066.0605,2125804.869,kandivali,Atm
HDFC Bank ATM,"SN 27, Pooja Enclave, Hindustan Naka, Kandivali",19.2035652,72.8279679,43,271630.1276,2124776.024,kandivali,Atm
Axis Bank ATM,"Shree Gokul Garden, Western Express Hwy, near Thakur Polytechnic College",19.2136245,72.8648717,43,275525.3244,2125841.687,kandivali,Atm
Bank of Baroda ATM,Thakur Complex Rd,19.206492,72.8654456,43,275575.9988,2125051.301,kandivali,Atm
YES Bank ATM,"Shop No 11, Gaurav Shikhar B Wing, near Evershine Millennium Paradise",19.2097933,72.8775686,43,276855.5114,2125401.199,kandivali,Atm
Union Bank Atm,"Mahavdi Parshan Building, Shop No. 1, Dattani Park, Kandivali, Dattani Park Road, Thakur Village, Kandivali East",19.2127298,72.8691543,43,275974.5226,2125737.113,kandivali,Atm
Andhra Bank ATM,Gokul Towers Rd,19.2102566,72.8733716,43,276414.7216,2125457.879,kandivali,Atm
Abhyudaya Co-Op Bank ATM,"Shop No.S-109, Rajiv Gandhi Commercial Complex Charkop Marve, Shri Sevantilal Khandwala Marg",19.2002093,72.8278105,43,271608.9371,2124404.689,kandivali,Atm
Bharat Bank ATM,"Sai Nagar, Nanddham, MG Rd Number 1",19.205373,72.8468243,43,273615.9255,2124951.534,kandivali,Atm
"IDBI Bank ATM, Bandra East","Shri Ganesh Seva Mandal, Opp prakashgad, Station Road, Kherwadi, Mumbai suburban",19.0556945,72.84547,43,273269.17,2108382.206,bandra,Atm
HDFC Bank ATM,"Gr & 1st Flr The Shelter, 32nd Rd, Bandra West Nr RD National College",19.0605005,72.8293026,43,271573.745,2108935.27,bandra,Atm
HDFC Bank ATM,"Bandra Ocean View CHS, Hill Rd, Bandra West",19.0528,72.824302,43,271036.7478,2108089.258,bandra,Atm
Axis Bank ATM,Mangal Mahal,19.0597613,72.829669,43,271611.3037,2108852.954,bandra,Atm
YES Bank ATM,"S No G 01, 893, GF, Nootan Chambers, Turner Rd, Next to Notandass Jewellers",19.0595849,72.8326692,43,271926.8994,2108829.519,bandra,Atm
Axis Bank ATM,"Education Trust, opposite Lilavati Hospital",19.051978,72.829524,43,271585.3765,2107991.443,bandra,Atm
SBI ATM,Opp. Bandra Talao,19.0566661,72.8377008,43,272452.6014,2108499.837,bandra,Atm
UCO Bank ATM,"No 508, Linking Rd",19.0635229,72.8355048,43,272230.79,2109261.812,bandra,Atm
HDFC Bank ATM,Hdfc Bank Ltd Bandra Near Police Station,19.04329,72.81863,43,270426.5285,2107043.803,bandra,Atm
SBI ATM,"Dhiraj Heritage, Swami Vivekananda Rd",19.0899169,72.8376692,43,272494.6955,2112181.111,bandra,Atm
HDFC Bank ATM,"SN A/15, Baba Towers, Kurla Station Rd, Kurla East",19.0655986,72.8791535,43,276828.3888,2109435.461,kurla,Atm
Allahabad Bank ATM - Kurla East Branch,Ambedkar Gurdun,19.0638065,72.884263,43,277363.849,2109230.562,kurla,Atm
Central Bank of India ATM,"Bail Bazar, Sandesh Nagar, Kurla West",19.086436,72.880979,43,277048.4478,2111740.018,kurla,Atm
HDFC Bank ATM,"Shop No 11, Ground Floor Kanakia Zillion, Lal Bahadur Shastri Rd",19.0754575,72.8764346,43,276555.4053,2110530.393,kurla,Atm
Kurla Nagarik Sahakari Bank ATM,KNS Bank,31.1108811,-97.7812139,14,616221.9768,3442529.212,kurla,Atm
FRB ATM,"Kurla West Post Office, New Mill Road",19.0687681,72.8778164,43,276691.8857,2109788.055,kurla,Atm
HDFC Bank ATM,"Mayflower, Plot No 160/1, Lal Bahadur Shastri Rd",19.054112,72.868968,43,275740.7498,2108176.79,kurla,Atm
YES Bank ATM,"Sai Kutir Cooperative Society Limited, Lal Bahadur Shastri Rd",19.0775521,72.8790322,43,276831.6343,2110758.972,kurla,Atm
Citi Bank ATM,Lal Bahadur Shastri Rd,19.1284065,72.9252516,43,281763.2927,2116330.635,kurla,Atm
Axis Bank ATM,"Doshi Estate, No 4, Colour Plaza Photo Sunderbaug, near Building 1",19.0879698,72.8878465,43,277773.3153,2111901.091,kurla,Atm
HDFC Bank ATM,"SN 4D, Pinky Apts, SG Barve Marg",19.0716683,72.8800673,43,276932.707,2110106.266,kurla,Atm
Money Gram,"2, Lal Bahadur Shastri Rd",19.1451352,72.9350375,43,282814.8866,2118170.412,kurla,Atm
Bharat Bank ATM,"170, Lal Bahadur Shastri Rd",19.0840036,72.8828857,43,277245.8774,2111468.303,kurla,Atm
ICICI Bank,Kurla West,19.0707532,72.8781322,43,276727.7884,2110007.421,kurla,Atm
IDBI Bank ATM,"Noor Hospital, Kurla Bus Depot Junction, Lal Bahadur Shastri Rd",19.076191,72.8779767,43,276718.7094,2110609.631,kurla,Atm
The Kurla Nagrik Sahakari Bank Ltd,"Sidharth Apt, Kayupada Line Road, Kurla West",19.091008,72.884598,43,277435.4702,2112241.572,kurla,Atm
HDFC Bank ATM,"Tol, SN 10, Bldg No 3, Gaurishankar Sra CHS, Masrani Ln",19.0750315,72.884328,43,277385.6903,2110473.181,kurla,Atm
Axis Bank ATM,"Shop No 2, Ground Floor, S S House, Nehru Rd",19.097056,72.850843,43,273890.969,2112954.414,vileparle,Atm
HDFC Bank ATM,"Shop No 1, Shree Vile Parle Vinayak CHS, 172, Nehru Rd",19.0985856,72.8448488,43,273262.1798,2113131.514,vileparle,Atm
CANARA BANK ATM,"38, Nehru Rd",19.0975259,72.8496821,43,273769.4265,2113007.937,vileparle,Atm
The Shamrao Vithal Bank ATM - Vile Parle West,"Saroj Building, Vallabhbhai Patel Road",19.0969734,72.8401702,43,272767.5698,2112959.095,vileparle,Atm
ICICI BANK ATM,"Jeevan Dhara Cooperative Housing Society Limited, Shahaji Raje Marg",19.1087311,72.8484193,43,273651.7736,2114250.107,vileparle,Atm
ICICI Bank Atm,"Kadamgiri Complex, Next To Gajalee Coastal Foods E), mum, Hanuman Rd",19.1038775,72.8516225,43,273982.28,2113708.619,vileparle,Atm
Axis Bank ATM,"Shop No 1& 2, Sangam Arcade Valabh bhai Patel Road, Station, opposite Vileparle",19.1006341,72.8436917,43,273143.193,2113359.805,vileparle,Atm
HDFC Bank ATM,"Survodaya Chawl Golibar Maidan, Service Rd",18.4997973,73.8786817,43,381627.1337,2045850.18,vileparle,Atm
Shamrao Bank ATM,"51, Nehru Rd",13.0309017,80.2095411,44,414289.7191,1440686.345,vileparle,Atm
Citibank ATM,"DEPARTURES, CHATRAPATI SHIVAJI INTERNATIONAL AIRPORT, TERMINAL T 1B",19.0903694,72.8627519,43,275135.3076,2112198.795,vileparle,Atm
YES Bank ATM,"Viacom18 Media Pvt Ltd, Vileparle East Subhash Road, A",19.1073128,72.8528795,43,274119.2375,2114087.319,vileparle,Atm
HDFC Bank ATM,"Ram Niwas, No 108D, Lajpatrai Rd",19.1019669,72.8411636,43,272878.9421,2113510.641,vileparle,Atm
Induslnd Bank ATM,"Paranjape Scheme Road, near noble medical",18.5344051,73.8356686,43,377110.6477,2049708.639,vileparle,Atm
ATM,"2, Sahar Rd",19.102377,72.86315,43,275193.4357,2113527.643,vileparle,Atm
Catholic Syrian Bank ATM,"M.U.Arcade, Baptista Rd",19.096772,72.8422935,43,272990.7677,2112934.042,vileparle,Atm
Dena Bank ATM,"67, Nehru Rd",19.0979282,72.8470561,43,273493.5954,2113055.874,vileparle,Atm
HDFC Bank ATM,"Shop No 4 to 6, Gr Flr, Usha Niketan CHS Hanuman Cross Rd, Mahant Rd",19.1030101,72.8494282,43,273750.1651,2113615.425,vileparle,Atm
YES Bank ATM,"Plot No, Pal Residency, Shop No 3, 358, Bhandarkar Rd",19.0272397,72.8535095,43,274076.9948,2105221.604,matunga,Atm
Bank Of India Atm,"Kalyan Bhuwan, Maheshwari Udyan, King Circle",19.0274335,72.856399,43,274381.4957,2105239.344,matunga,Atm
HDFC Bank ATM,"Plot No, Pal Residency, Shop No 2, 358, Bhandarkar Rd",19.027244,72.853475,43,274073.3681,2105222.124,matunga,Atm
Axis Bank ATM,"Plot No 55, Ground Floor & 1st Floor Killol Kunj, Bhaudaji Rd, opposite Pioneer School",19.0311187,72.8544842,43,274184.868,2105649.793,matunga,Atm
Axis Bank ATM,"Railway Station, Shop No 4, Dhanlakshmi CHS, Mogul Ln, near Matunga",19.0313058,72.8459124,43,273282.6053,2105681.554,matunga,Atm
Canara Bank ATM,Senapati Bapat Marg,19.0147615,72.8386211,43,272492.3768,2103859.358,matunga,Atm
Vijaya Bank ATM,"Dinesh Mahal, 211-E, 400019, Dr Baba Saheb Ambedkar Rd",19.0241632,72.8523326,43,273948.9135,2104882.52,matunga,Atm
Saraswat Bank Atm,"109, Pioneer high school building, Telang Road, BMC office F - North Ward",19.030653,72.854018,43,274135.1523,2105598.835,matunga,Atm
Andhra Bank ATM,Bhaudaji Rd,19.0311187,72.8544842,43,274184.868,2105649.793,matunga,Atm
Kotak Mahindra Bank Ltd,"Raj Niketan, Bhandarkar Rd",19.0273673,72.8529787,43,274021.2788,2105236.413,matunga,Atm
The Pratap Bank ATM,Bhimani Street,19.0265458,72.8521205,43,273929.8058,2105146.57,matunga,Atm
